03/09/2018,PoP-AM,PoP-BA,0,83132,844224810606061,97683,386399327904137,83187,83229,83865
03/09/2018,PoP-AM,PoP-CE,0,73961,972435652173913,150474,351080639448508,74013,740775,150243
03/09/2018,PoP-AM,PoP-DF,0,51026,511214151624549,51199,0.0295803533716098,51083,51124,51160
03/09/2018,PoP-AM,PoP-ES,0,74482,779018727272727,109007,284139140156431,74562,78162,79022
03/09/2018,PoP-AM,PoP-GO,0,49204,492829621993127,49351,0.0268702234496052,49245,49284,49315
03/09/2018,PoP-AM,PoP-MA,0,33430,580615709090909,87801,26988315687755,33489,33556,87759
03/09/2018,PoP-AM,PoP-MG,0,62765,668599007633588,114008,122027802349048,62819,62859,88240
03/09/2018,PoP-AM,PoP-MS,0,73954,743364190140845,104725,223885062411496,74037,741115,74170
03/09/2018,PoP-AM,PoP-MT,0,64543,647189473684211,68690,0.3685567837884,64623,64676,64716
03/09/2018,PoP-AM,PoP-PA,0,23191,233187470355731,23404,0.0388257099884858,23267,23323,23366
03/09/2018,PoP-AM,PoP-PB,0,83959,840318181818182,84109,0.0316636583066613,83991,84033,84078
03/09/2018,PoP-AM,PoP-PE,0,86375,864723568773235,86548,0.0300510597355821,86429,86478,86504
03/09/2018,PoP-AM,PoP-PI,0,38990,393024728682171,68957,216844853386175,39067,39115,39175
03/09/2018,PoP-AM,PoP-PR,0,80209,929030283687944,93014,0.759152040931571,92908,92.95,92981
03/09/2018,PoP-AM,PoP-RJ,0,66158,694182051282052,105475,621628420624117,66263,68193,69628
03/09/2018,PoP-AM,PoP-RN,0,81259,813926703703703,81482,0.0333800725206372,81351,813915,81437
03/09/2018,PoP-AM,PoP-RO,2,82311,11201432,133448,177542922210233,82665,116138,132689
03/09/2018,PoP-AM,PoP-RR,0,10349,105230550847458,11321,0.13815899388384,10411,10.46,10726
03/09/2018,PoP-AM,PoP-RS,0,92405,107802695167286,107951,0.975199457215038,107835,107876,107908
03/09/2018,PoP-AM,PoP-SC,0,71421,747445364963504,87480,293996360031693,71773,735005,79186
03/09/2018,PoP-AM,PoP-SE,0,88275,895511842105263,99000,275671810206109,88374,88426,95031
03/09/2018,PoP-AM,PoP-SP,0,60433,648106457564576,120416,924185425277834,60542,61351,88002
03/09/2018,PoP-AM,PoP-TO,0,38197,383367392739274,40774,0.146610607408845,38285,38329,38368
03/09/2018,PoP-AP,PoP-AC,4,87103,11392066064982,177774,18596248341068,87352,115308,137321
03/09/2018,PoP-AP,PoP-AL,0,58719,76157535460993,124855,19100411172387,58782,589065,97323
03/09/2018,PoP-AP,PoP-AM,0,40692,408218455882353,40971,0.0421726164350296,40766,40826,40874
03/09/2018,PoP-AP,PoP-BA,0,65875,957287722007722,104484,843752424046167,88537,102058,102176
03/09/2018,PoP-AP,PoP-CE,0,42293,822200210526316,157095,300182013363789,42371,80829,118561
03/09/2018,PoP-AP,PoP-DF,0,51101,512190883392226,51766,0.0544239592974258,51173,51214,51262
03/09/2018,PoP-AP,PoP-ES,0,79820,948466911764706,145993,124783543798744,79902,93953,110283
03/09/2018,PoP-AP,PoP-GO,0,47603,477043736263736,47812,0.0347826175172337,47662,47703,47748
03/09/2018,PoP-AP,PoP-MA,0,28231,570945243902439,94583,328645741384776,28277,28359,94498
03/09/2018,PoP-AP,PoP-MG,0,68132,775860318021201,120419,108698840061662,68203,81797,81915
03/09/2018,PoP-AP,PoP-MS,0,72404,727059735849057,91803,137185337587335,72481,72560,72626
03/09/2018,PoP-AP,PoP-MT,0,63019,639542965779468,103851,460727554939381,63086,63141,63220
03/09/2018,PoP-AP,PoP-PA,0,18008,181211,18242,0.0441537940478282,18055,18122,18177
03/09/2018,PoP-AP,PoP-PB,0,52193,698136210526316,118294,193222116723792,52238,52320,90841
03/09/2018,PoP-AP,PoP-PE,0,54672,722465018050542,93364,191950342011362,54715,54787,93251
03/09/2018,PoP-AP,PoP-PI,0,33823,340631590909091,68067,210186499235254,33877,33925,33997
03/09/2018,PoP-AP,PoP-PR,0,82541,912840148698885,92250,0.930564998371472,91326,91379,91425
03/09/2018,PoP-AP,PoP-RJ,0,69765,794923825503356,91505,839069138432792,69842,75921,91333
03/09/2018,PoP-AP,PoP-RN,0,49519,671697670250895,88241,190824363625788,49591,49690,88192
03/09/2018,PoP-AP,PoP-RO,4,80804,113113382899628,169480,175046194540099,81121,117362,131056
03/09/2018,PoP-AP,PoP-RR,0,50654,508513813559322,51348,0.135161867928528,50740,50788,51075
